block,wplot,winter_crop,splot,lemrate_lm2,trtname
1,101,Kale,101-1,3.6,Kale+3.6
1,101,Kale,101-2,0,Kale+0
1,101,Kale,101-3,1.8,Kale+1.8
1,102,Carrot,102-1,1.8,Carrot+1.8
1,102,Carrot,102-2,0,Carrot+0
1,102,Carrot,102-3,3.6,Carrot+3.6
1,103,Clover,103-1,1.8,Clover+1.8
1,103,Clover,103-2,3.6,Clover+3.6
1,103,Clover,103-3,0,Clover+0
2,201,Clover,201-1,0,Clover+0
2,201,Clover,201-2,1.8,Clover+1.8
2,201,Clover,201-3,3.6,Clover+3.6
2,202,Carrot,202-1,1.8,Carrot+1.8
2,202,Carrot,202-2,0,Carrot+0
2,202,Carrot,202-3,3.6,Carrot+3.6
2,203,Kale,203-1,3.6,Kale+3.6
2,203,Kale,203-2,1.8,Kale+1.8
2,203,Kale,203-3,0,Kale+0
3,301,Clover,301-1,3.6,Clover+3.6
3,301,Clover,301-2,0,Clover+0
3,301,Clover,301-3,1.8,Clover+1.8
3,302,Kale,302-1,0,Kale+0
3,302,Kale,302-2,3.6,Kale+3.6
3,302,Kale,302-3,1.8,Kale+1.8
3,303,Carrot,303-1,3.6,Carrot+3.6
3,303,Carrot,303-2,1.8,Carrot+1.8
3,303,Carrot,303-3,0,Carrot+0
4,401,Carrot,401-1,3.6,Carrot+3.6
4,401,Carrot,401-2,1.8,Carrot+1.8
4,401,Carrot,401-3,0,Carrot+0
4,402,Clover,402-1,1.8,Clover+1.8
4,402,Clover,402-2,0,Clover+0
4,402,Clover,402-3,3.6,Clover+3.6
4,403,Kale,403-1,1.8,Kale+1.8
4,403,Kale,403-2,0,Kale+0
4,403,Kale,403-3,3.6,Kale+3.6
